Repo_id;Full_name_modified;Full_name;owner_id;created_at;updated_at;size;stargazers;Subscribers;forks_count;open_issues;watchers;has_downloads;has_issues;has_pages;has_wiki;has_projects;git_url;clone_url;last_commit_sha;license;testsmells_file;CK_File_Class;CK_File_Method
56240949;NimbleDroid_FriendlyDemo;NimbleDroid/FriendlyDemo;8988268;Thu Apr 14 10:45:49 BRT 2016;Tue Sep 14 23:21:48 BRT 2021;191;126;12;23;2;126;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/NimbleDroid/FriendlyDemo.git;https://github.com/NimbleDroid/FriendlyDemo.git;118b92a8dfb3a568ebce6ac4377451ced5ba794b;Apache License 2;results/NimbleDroid_FriendlyDemo_testsmells.csv;results/NimbleDroid_FriendlyDemo_class.csv;results/NimbleDroid_FriendlyDemo_method.csv
12304596;ninjaframework_ninja-rythm;ninjaframework/ninja-rythm;4134828;Thu Aug 22 15:31:17 BRT 2013;Tue Apr 14 12:26:01 BRT 2020;1063;8;4;7;4;8;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/ninjaframework/ninja-rythm.git;https://github.com/ninjaframework/ninja-rythm.git;a2899da93ca34adf5c93381df4b24a0aced6127a;Apache License 2;results/ninjaframework_ninja-rythm_testsmells.csv;results/ninjaframework_ninja-rythm_class.csv;results/ninjaframework_ninja-rythm_method.csv
5268390;ninjanetworks_contacts;ninjanetworks/contacts;2078556;Thu Aug 02 01:46:54 BRT 2012;Tue Dec 01 17:38:47 BRT 2020;26645;12;3;1;0;12;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/ninjanetworks/contacts.git;https://github.com/ninjanetworks/contacts.git;9e4f0cca0121a3bf28de6a4c0c6904fe06c775a6;Other;results/ninjanetworks_contacts_testsmells.csv;results/ninjanetworks_contacts_class.csv;results/ninjanetworks_contacts_method.csv
98319419;nipafx_demo-java-9-migration;nipafx/demo-java-9-migration;6537432;Tue Jul 25 12:05:40 BRT 2017;Tue Oct 12 11:21:36 BRT 2021;3823;20;2;20;0;20;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/nipafx/demo-java-9-migration.git;https://github.com/nipafx/demo-java-9-migration.git;19c8154eec641e8b200858aeb63ab111b4e1289b;Creative Commons Zero v1 Universal;results/nipafx_demo-java-9-migration_testsmells.csv;results/nipafx_demo-java-9-migration_class.csv;results/nipafx_demo-java-9-migration_method.csv
51496417;nipafx_demo-junit-5;nipafx/demo-junit-5;6537432;Thu Feb 11 03:40:09 BRST 2016;Mon Oct 04 07:20:31 BRT 2021;141;67;4;22;1;67;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/nipafx/demo-junit-5.git;https://github.com/nipafx/demo-junit-5.git;5596c51fa0139e01df05eba73e1b99739547f2c1;Creative Commons Zero v1 Universal;results/nipafx_demo-junit-5_testsmells.csv;results/nipafx_demo-junit-5_class.csv;results/nipafx_demo-junit-5_method.csv
235875619;nipafx_java-after-eight;nipafx/java-after-eight;6537432;Thu Jan 23 17:01:45 BRT 2020;Wed Sep 15 13:56:19 BRT 2021;881;20;4;6;0;20;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/nipafx/java-after-eight.git;https://github.com/nipafx/java-after-eight.git;f2e5244f5d0d04d1eccc5d40b0e00948e996ac56;Other;results/nipafx_java-after-eight_testsmells.csv;results/nipafx_java-after-eight_class.csv;results/nipafx_java-after-eight_method.csv
35295448;nipafx_JDeps-Maven-Plugin;nipafx/JDeps-Maven-Plugin;6537432;Fri May 08 15:35:12 BRT 2015;Sun Oct 04 11:18:21 BRT 2020;199;16;5;5;3;16;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/nipafx/JDeps-Maven-Plugin.git;https://github.com/nipafx/JDeps-Maven-Plugin.git;6c575213da9fa66a794575fa63f7f028f752988d;GNU General Public License v3;results/nipafx_JDeps-Maven-Plugin_testsmells.csv;results/nipafx_JDeps-Maven-Plugin_class.csv;results/nipafx_JDeps-Maven-Plugin_method.csv
22750700;nipafx_LibFX;nipafx/LibFX;6537432;Fri Aug 08 05:11:20 BRT 2014;Fri Oct 08 03:17:40 BRT 2021;2985;52;10;8;3;52;TRUE;TRUE;TRUE;TRUE;TRUE;git://github.com/nipafx/LibFX.git;https://github.com/nipafx/LibFX.git;7a59b3b3cdf6c915092cdb435d37e08245699558;Other;results/nipafx_LibFX_testsmells.csv;results/nipafx_LibFX_class.csv;results/nipafx_LibFX_method.csv
46035308;nisrulz_sensey;nisrulz/sensey;2096087;Thu Nov 12 04:58:21 BRST 2015;Sat Oct 30 04:38:55 BRT 2021;38086;2621;72;271;29;2621;TRUE;TRUE;TRUE;TRUE;TRUE;git://github.com/nisrulz/sensey.git;https://github.com/nisrulz/sensey.git;7ae78d66ae6defa006cfc6f9c7a732c118233693;Apache License 2;results/nisrulz_sensey_testsmells.csv;results/nisrulz_sensey_class.csv;results/nisrulz_sensey_method.csv
14083998;NitorCreations_DomainReverseMapper;NitorCreations/DomainReverseMapper;1389534;Sun Nov 03 09:01:59 BRST 2013;Sat Sep 11 11:39:48 BRT 2021;609;27;55;74;3;27;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/NitorCreations/DomainReverseMapper.git;https://github.com/NitorCreations/DomainReverseMapper.git;d646b1f7e9a730284060462668bfa28126829183;Apache License 2;results/NitorCreations_DomainReverseMapper_testsmells.csv;results/NitorCreations_DomainReverseMapper_class.csv;results/NitorCreations_DomainReverseMapper_method.csv
46117241;NitorCreations_java8-utils;NitorCreations/java8-utils;1389534;Fri Nov 13 09:05:29 BRST 2015;Mon Jun 22 12:38:47 BRT 2020;67;24;37;11;0;24;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/NitorCreations/java8-utils.git;https://github.com/NitorCreations/java8-utils.git;2e28c7f2d2848cd969fc7466adc44b9ccb9ebf69;Other;results/NitorCreations_java8-utils_testsmells.csv;results/NitorCreations_java8-utils_class.csv;results/NitorCreations_java8-utils_method.csv
29430452;NitorCreations_javaxdelta;NitorCreations/javaxdelta;1389534;Sun Jan 18 13:34:13 BRST 2015;Tue Aug 03 15:58:34 BRT 2021;9213;6;56;2;0;6;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/NitorCreations/javaxdelta.git;https://github.com/NitorCreations/javaxdelta.git;022f9a86e0c6ed97fae18693ae010021612714f6;Other;results/NitorCreations_javaxdelta_testsmells.csv;results/NitorCreations_javaxdelta_class.csv;results/NitorCreations_javaxdelta_method.csv
22103504;zhanggh_mtools;zhanggh/mtools;2449971;Tue Jul 22 09:45:48 BRT 2014;Fri Oct 19 06:50:20 BRT 2018;4043;9;9;10;13;9;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/zhanggh/mtools.git;https://github.com/zhanggh/mtools.git;373f8724ec68e4846fb3a88291df92ddd6ecf39b;Apache License 2;results/zhanggh_mtools_testsmells.csv;results/zhanggh_mtools_class.csv;results/zhanggh_mtools_method.csv
