App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
TestSmellDetector,DefaultDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\extensions\rtmp\src\test\java\com\google\android\exoplayer2\ext\rtmp\DefaultDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\DefaultDataSource.java,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
TestSmellDetector,DefaultHttpDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\androidTest\java\com\google\android\exoplayer2\upstream\DefaultHttpDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\DefaultHttpDataSource.java,,,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
TestSmellDetector,HttpUtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\HttpUtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\HttpUtil.java,,,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
TestSmellDetector,CacheDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\CacheDataSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\CacheDataSource.java,,,41,4,2,0,0,0,27,27,0,0,0,0,0,0,0,0,0,1,0,0,27,0
TestSmellDetector,CachedContentIndexTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\CachedContentIndexTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\CachedContentIndex.java,,,16,6,1,0,0,0,6,5,5,0,2,0,0,0,0,0,2,0,0,4,10,0
TestSmellDetector,CacheFileMetadataIndexTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\CacheFileMetadataIndexTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\CacheFileMetadataIndex.java,,,6,4,0,0,0,0,5,0,0,0,0,0,0,0,4,14,3,0,0,0,5,0
TestSmellDetector,CacheKeyFactoryTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\CacheKeyFactoryTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\CacheKeyFactory.java,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TestSmellDetector,CacheWriterTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\CacheWriterTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\CacheWriter.java,,,9,0,0,0,0,0,7,7,0,0,6,0,0,0,0,0,0,0,0,0,7,0
TestSmellDetector,DefaultContentMetadataTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\DefaultContentMetadataTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\ContentMetadata.java,,,18,2,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,1,0,0,16,0
TestSmellDetector,LeastRecentlyUsedCacheEvictorTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\LeastRecentlyUsedCacheEvictorTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\LeastRecentlyUsedCacheEvictor.java,,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
TestSmellDetector,ReusableBufferedOutputStreamTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\ReusableBufferedOutputStreamTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\ReusableBufferedOutputStream.java,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
TestSmellDetector,SimpleCacheTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\SimpleCacheTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\SimpleCache.java,,,41,21,0,0,0,0,27,31,2,0,0,0,0,0,30,170,1,0,0,3,32,0
TestSmellDetector,SimpleCacheSpanTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\cache\SimpleCacheSpanTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\cache\SimpleCacheSpan.java,,,6,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,2,2,0
TestSmellDetector,AesFlushingCipherTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\test\java\com\google\android\exoplayer2\upstream\crypto\AesFlushingCipherTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\datasource\src\main\java\com\google\android\exoplayer2\upstream\crypto\AesFlushingCipher.java,,,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
TestSmellDetector,CryptoInfoTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\decoder\src\test\java\com\google\android\exoplayer2\decoder\CryptoInfoTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\decoder\src\main\java\com\google\android\exoplayer2\decoder\CryptoInfo.java,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
TestSmellDetector,DecoderInputBufferTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\decoder\src\test\java\com\google\android\exoplayer2\decoder\DecoderInputBufferTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\decoder\src\main\java\com\google\android\exoplayer2\decoder\DecoderInputBuffer.java,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
TestSmellDetector,ChainingGlTextureProcessorListenerTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\test\java\com\google\android\exoplayer2\effect\ChainingGlTextureProcessorListenerTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\main\java\com\google\android\exoplayer2\effect\ChainingGlTextureProcessorListener.java,,,6,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0
TestSmellDetector,CropTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\test\java\com\google\android\exoplayer2\effect\CropTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\main\java\com\google\android\exoplayer2\effect\Crop.java,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
TestSmellDetector,MatrixUtilsTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\test\java\com\google\android\exoplayer2\effect\MatrixUtilsTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\main\java\com\google\android\exoplayer2\effect\MatrixUtils.java,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0
TestSmellDetector,PresentationTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\test\java\com\google\android\exoplayer2\effect\PresentationTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\main\java\com\google\android\exoplayer2\effect\Presentation.java,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,4,0
TestSmellDetector,ScaleToFitTransformationTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\test\java\com\google\android\exoplayer2\effect\ScaleToFitTransformationTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\effect\src\main\java\com\google\android\exoplayer2\effect\ScaleToFitTransformation.java,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
TestSmellDetector,AacUtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\test\java\com\google\android\exoplayer2\audio\AacUtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\main\java\com\google\android\exoplayer2\audio\AacUtil.java,,,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
TestSmellDetector,Ac3UtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\test\java\com\google\android\exoplayer2\audio\Ac3UtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\main\java\com\google\android\exoplayer2\audio\Ac3Util.java,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TestSmellDetector,OpusUtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\test\java\com\google\android\exoplayer2\audio\OpusUtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\main\java\com\google\android\exoplayer2\audio\OpusUtil.java,,,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,10,0
TestSmellDetector,ConstantBitrateSeekMapTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\test\java\com\google\android\exoplayer2\extractor\ConstantBitrateSeekMapTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\main\java\com\google\android\exoplayer2\extractor\ConstantBitrateSeekMap.java,,,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
TestSmellDetector,DefaultExtractorInputTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\test\java\com\google\android\exoplayer2\extractor\DefaultExtractorInputTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\extractor\src\main\java\com\google\android\exoplayer2\extractor\DefaultExtractorInput.java,,,42,34,2,0,0,0,38,0,0,0,0,0,0,0,31,117,9,0,0,0,38,0
